arm,run,file,category,credit_id,credit_name,max_points,applicability,estimated_level,estimated_points,justification,questions_summary,level_guide_reference,concept_phase_actions,documentation_needed,input_tokens,output_tokens,elapsed_seconds,valid_json,truncated,success
rag,1,00_sample_project,Climate And Resilience,CR2.1,Avoid Unsuitable Development,14,Applicable,No Level,0,,QA:Insufficient Data(No information on site selection process) | QB:Insufficient Data(No environmental impact assessment available),A + B required for Improved,Conduct site selection process with environmental considerations; Perform environmental impact assessment,Site selection report; Environmental impact assessment,17617,1298,268.83,True,False,True
rag,1,00_sample_project,Climate And Resilience,CR2.2,Assess Climate Change Vulnerability,20,Applicable,No Level,0,,QA:Insufficient Data(No climate change vulnerability assessment available) | QB:Insufficient Data(No information on project vulnerabilities to climate change),A + B required for Improved,Conduct climate change vulnerability assessment; Identify project vulnerabilities to climate change,Climate change vulnerability assessment report; Project vulnerability analysis,17617,1298,268.83,True,False,True
rag,1,00_sample_project,Climate And Resilience,CR2.3,Evaluate Risk and Resilience,26,Applicable,No Level,0,,QA:Insufficient Data(No risk assessment available) | QB:Insufficient Data(No information on critical functions and dependencies of infrastructure asset),A + B + C + D + E required for Conserving,Conduct risk assessment; Identify critical functions and dependencies of infrastructure asset,Risk assessment report; Critical functions and dependencies analysis,17617,1298,268.83,True,False,True
rag,1,00_sample_project,Climate And Resilience,CR2.4,Establish Resilience Goals and Strategies,20,Applicable,No Level,0,,QA:Insufficient Data(No information on project performance goals and risk appetite) | QB:Insufficient Data(No risk management strategies available),A + B required for Enhanced,Establish project performance goals and risk appetite; Develop risk management strategies,Project performance goals and risk appetite statement; Risk management strategies report,17617,1298,268.83,True,False,True
rag,1,00_sample_project,Climate And Resilience,CR2.5,Maximize Resilience,26,Applicable,No Level,0,,QA:Insufficient Data(No information on resilience goals and strategies) | QB:Insufficient Data(No implementation of resilience strategies available),A + B + C + D + E required for Conserving,Develop resilience goals and strategies; Implement resilience strategies,Resilience goals and strategies report; Implementation of resilience strategies report,17617,1298,268.83,True,False,True
rag,1,00_sample_project,Climate And Resilience,CR2.6,Improve Infrastructure Integration,18,Applicable,No Level,0,,QA:Insufficient Data(No information on infrastructure integration) | QB:Insufficient Data(No analysis of benefits and challenges available),A + B required for Improved,Analyze infrastructure integration; Conduct benefits and challenges analysis,Infrastructure integration analysis report; Benefits and challenges analysis report,17617,1298,268.83,True,False,True
rag,1,00_sample_project,Leadership,LD1.1,Provide Effective Leadership and Commitment,10,Applicable,Improved,2,,"QA:Likely Yes(Project team includes multiple disciplines (architectural, structural, MEP, civi) | QB:Insufficient Data(No information on sustainability goals or targets)",A + B required for Enhanced,Develop sustainability goals and targets,Sustainability management plan; Project charter or mission statement,17191,1910,375.03,True,False,True
rag,1,00_sample_project,Leadership,LD1.2,Foster Collaboration and Teamwork,8,Applicable,Improved,2,,"QA:Likely Yes(Multiple consultants listed (Cartesian Inverse, Etienne Oiseau, Safe Harbor Engi) | QB:Insufficient Data(No information on collaboration tools or processes)",A + B required for Enhanced,Establish collaboration tools and processes,Collaboration plan; Communication protocol,17191,1910,375.03,True,False,True
rag,1,00_sample_project,Leadership,LD1.3,Encourage Public Outreach and Participation,6,Applicable,No Level,0,,QA:Insufficient Data(No information on public outreach or participation) | QB:Insufficient Data(No information on community engagement),A + B required for Improved,Develop public outreach and participation plan,Public outreach plan; Community engagement records,17191,1910,375.03,True,False,True
rag,1,00_sample_project,Leadership,LD1.4,Pursue Byproduct Synergies,8,Applicable,No Level,0,,QA:Insufficient Data(No information on byproduct synergies) | QB:Insufficient Data(No information on waste reduction strategies),A + B required for Improved,Investigate byproduct synergies and waste reduction strategies,Byproduct synergy plan; Waste reduction strategy,17191,1910,375.03,True,False,True
rag,1,00_sample_project,Leadership,LD2.1,Establish a Sustainability Management Plan,12,Applicable,No Level,0,,QA:Insufficient Data(No information on sustainability management plan) | QB:Insufficient Data(No information on monitoring and reporting),A + B required for Improved,Develop sustainability management plan,Sustainability management plan; Monitoring and reporting protocol,17191,1910,375.03,True,False,True
rag,1,00_sample_project,Leadership,LD2.2,Plan for Sustainable Communities,10,Applicable,No Level,0,,QA:Insufficient Data(No information on community planning) | QB:Insufficient Data(No information on social and economic benefits),A + B required for Improved,Develop community planning strategy,Community plan; Social and economic benefit analysis,17191,1910,375.03,True,False,True
rag,1,00_sample_project,Leadership,LD2.3,Conduct a Life-Cycle Economic Evaluation,8,Applicable,No Level,0,,QA:Insufficient Data(No information on life-cycle economic evaluation) | QB:Insufficient Data(No information on cost-benefit analysis),A + B required for Improved,Conduct life-cycle economic evaluation,Life-cycle economic evaluation report; Cost-benefit analysis,17191,1910,375.03,True,False,True
rag,1,00_sample_project,Leadership,LD3.1,Develop a Construction Management Plan,8,Applicable,No Level,0,,QA:Insufficient Data(No information on construction management plan) | QB:Insufficient Data(No information on waste reduction and recycling),A + B required for Improved,Develop construction management plan,Construction management plan; Waste reduction and recycling strategy,17191,1910,375.03,True,False,True
rag,1,00_sample_project,Leadership,LD3.2,Implement a Quality Control Program,6,Applicable,No Level,0,,QA:Insufficient Data(No information on quality control program) | QB:Insufficient Data(No information on testing and inspection),A + B required for Improved,Develop quality control program,Quality control plan; Testing and inspection protocol,17191,1910,375.03,True,False,True
